,word,definition
2654,uloko,the Iroko tree Chloro phora excelsa gives good timber it is said to produce the tsetse fly uloko n Enyaε the roko tree of Enyae a meeting place forwitches but other Iroko trees have the same repute df Yor iroko v isi
2655,ulbka,corn cake maize is fried in a pan then pounded or ground and fnally baked df
2656,lib,stopping of passers by near a place where secret ceremonies are performed as done e by a rope and bull roaring dvia society bull roaring alone dxwahε D or by people armed with whips at some ugie secret performance at Jdvia and ugie cf lε ↄῦa N v emila usa unwe
2657,rhista,name of a Bini village seat of an dxwahe shrine uma private council or discussion held before reaching a decision as e g that of the court chiefs or a council of war um aɽave council of animals fable story um aɽavε de wu the story has fallen and died formula denot ing the end of a story um aɽad kpa sigsifsiε a story is threading along formula beginning a story um
2658,gnwaε,a wise intelligent man v sε I oxa itε
2659,umaza,a tree Standia stipitata
2660,umazza,name of a Bini village on the Siluko Road um the camwood tree Pterocarpus osum a red dye is obtained from it which is used for dyeing mats and by women to paint their faces as a sign of the gods wahε and
2661,akε,Fulani cattle cf Yor
2662,malu,Umodu name of a sib the senior is chief Eɽiyo at Benin City the sib comes from
2663,uhq,royal family of Benin its head is the ba descended from Ile Ifε v gbεe
2664,umosii,a sib the chief ɽo belongs to it vw εgQbεe
2665,umozo,sword
2666,umpobiε,a woman who bears many children a fertile woman cf biε ↄmy v aga umob step son daughter foster son umob erha r stepfather fosterfather v erha
2667,umodia,a straight line or road ya e y umpodia make it straight umpbdia na ta gbe this straight road is very long also used for mile cf dia v ibiviki
2668,umobomyd,native iron hammuer umov catapult used by boys to kill birds
2669,umoxa,a tree Pycnanthus Rombo bI D list has umoghan cf umz
2670,umuddiyε,chicken killer a carnivorous animal N W Tlh has serval usually called fox cf mu adiyε v UMuLX XO umusy clock a new word not considered by A as the cor rect term v uteɣ ε ugεdε D it would literally mean a punctual instrument f muiu cgogo umudxdX same as umuadiyε serval uniε a tree Xylopia aethiopica fruit of the above it is an ingredient in a pepper soup also called uniε which is drunk by women after delivery and also by sick people the soup is not cooked with oil v azako uniε family εgbεe uni εɽ the εɽE is not nasal ised in four days time cf ε b s ε l
2671,unↄmunps,thing that al ways asks a name for the o
2672,gwsga,mouth unu iya gate in Jzuonla s big wall and ditch
2673,unuvgise,mouth cannot reach an old expression equi valent to oloi wife of the dba
2674,unwagweε,the senior chief at the Iwebo society he is in charge of the ba s dresses and especially his coral beads He used to act for three years as the dba when an dba had died during which three years the dba s death was kept a secret this practice was not followed the last time thus he was and still is in theory the only man to wear the Jba s dresses the title is hereditary or at least It remains in the family Igi
2675,esa,brightness of day or weather unwaῦ εdε n εɽ l uxaε gbe lLt the brightness of to day is wvery different to day it is much brighter than wusual ova might be substituted above for unwadε cf nwa
2676,unwe,a god of the ba s v Jsa Osua
2677,unwerhiε,whip idiom εse rhi unwerhiε kindness has taken a whip things have taken a bad turn or something well intended has had a bad end e g an advice not taken vey e v εse rhi unwerhiε see agaln how kindness has come out wrong unwerhi tz squirrel s whip a shrub Glyphaea laterifolia F D list unwerhi t Egbo sgbo bush same as asuε A a shrub Grewia coria ceae The unwerhi th is kept in allihε and εb shrines except the ancestral shrines Erha and Iye asthejujuswhip When the oracle has found out that a man is a witch or has sworn εbb to kill somebody the priest of the shrine whips him three times with the unwerhi ta in telling him so and the man will confess Women keep it at the
2678,olokui,shrine The urho n isE use unwearhi ta on many occasions to whip on lookers away e gQ when fetching palm wine for the royal house hold as nobody must see the contents of their loads or when fetching water for the aba he never drinks water from dDgba t is was also used by the
2679,dvia,and Ekpo societies unwo nwε a small tree Alchornea cordifolia its leaves are used by the Yoruba people as a mild purgative for Ochil dren unwd doε soup its main in gredients are ize n ↄfua crayfish εhiε native pepper ev ariε native butter u ε salt and
2680,ofighↄ,palm oil There is also ocro soOup unwoHῦ ixXiav and afↄ soup unwHῦ
2681,afↄ,bitter leaves or eb itεtε spin ach or eb ↄd ds ikp og i CG ete
2682,unyεgbe,tray unyεgb emus ash tray unyεɣε I a tree Monodora cornifolia unyεɣ a kind of rat brown with two white stripes on its back running from head to tail
2683,unyivee,custom manners u nyiv vo na make fo the custom of this country does not suit finish is not perfect wants improving u nyiv ε ke gbe his manners are very suitable he has good manners dbↄ unyivD he has no manners cf
2684,nyi,nyudu
2685,uradε,joning In a song urad ithua taking up song chorus
2686,urecbo,a tribal mark on the forehead worn by women mostly found at Oke and Urho n
2687,ighe,a beauty mark for women consisting of dots on the breast produced by a knife originallyy a Jekri custom lit able to hold rↄ a full grown man e ele df
2688,urgbo,residue of water jn the mould where palm kernels have been mashed left when the palm oil which is floating above has been taken off
2689,uria,a seed similar to that of
2690,ixioi,poor man s soap but no longer nowadays when mostly em uxuε and
2691,udε,are used
2692,uria,far away c re dry season cf uri x a smooth skinned lizard also called alimi urigd a tree Cordia awrantiaca its fruit contains gum
2693,uriɣs,name of a Bini village seat of an d wahε shrine
2694,uro,tray on which pepper Is ground v ovi ufudu hole on
2695,ise,board used for keeping the gained isε in the game of ise same as ogi uro ur
2696,ise,isε board v ogie
2697,urhemehε,name of a Bini village
2698,urho,gate urh eɣεɣε private passage leading from the apartment containing the Osi shrine to the outside occasionally also passage from od uw owa private rooms of husband to od εric women s appartment urh owa l ane between market stalls urhon is thefivegates young servants at the guae they accompany the iloi and carry water etc for the guae as well furthermore they collect material wanted by the ewaisε
2699,urhokposta,the entrance to
2700,gfivi,in Bini folklore said to have been closed by one Nba cf urho olpe ↄta Ll Urho n igbe the ten gates name of a populous Bini town in the south east of the Benin Division often called Usonigbe urhu r neck idiom ↄ ῦa εv y ↄῦ wurhu Sada he is forming words on my neck he is adding something wrong to my words that belies r a round wooden them e g in court he contra dicts my true testimony urhu oeε gu ↄna gwa my neck does not fit this I cannot bear this e a fine that is to be payed urhu abↄ neck of arm or hand wrist urhu awa neck of foot ankle i e not only the bone v ho voice v
2701,cho,blinder a cactus same as ↄ ɽx
2702,urhukpa,lantern cf rhu x ukpa Yor atukpa
2703,uɽeve,burmial d ɽe
2704,ufi,two hundred
2705,uɽo,line ya e y uɽo put it arrange it in a line t y uɽo fall in Lne ɽu ε ce uɽCuUUɽO do it as it should be done lne by line uɽ odε pathway of road ur eha a style of bhair dressing worn by women during the elghth month of pregnancy it consists of three rows of hair one in the middle of the head and one at each side v uvig
2706,uɽoɣo,a crowd of people
2707,uɽoho,r a Bini village on the Sapele road its inhabitants are sald to be very shy and retiring shy diom Uroho n gu ob ↄῦa a shy man who does not make the acquaintance of anybody
2708,uɽoɽa,name of a Bini village seat of an Ixwaheε shrine upor ama x small gutter leading off under the tloor the rain water gathered in ukpafε a direction something like west when clouds appear there rain is certain to fall cf
2709,ame,a big clay demijohn such as are used e g in stores y upu ni yak ↄgoↄ re take that demijohn go and buy ka palm wine and come fetch some palm wine in that demijohn a pot dug into the earth at every juju shrine containing water mixed with chalk and charms this mixture is sald to drive evil spirits away the priest splashes it instead of chalk v orhue b over supplicants e g sick people men wanting an ordeal or pregnant women
2710,wua,Borassus flabellifera a rattle is made from its leaves v εgwE d
2711,urubu,book barb iffd
2712,ufubu,barbed arrow a trap made of pointed iron rods
2713,uqubu,a smooth skinned lizard bigger than alimiↄɣkb it is said to be able to kill snakes
2714,uɽuhe,a tree Pterocarpus mildbyaedil an example of it is to be found near εki bↄba the central market of Benin City where it is given sacrifices under the name of emota It stands now in front of the C M S bookshop opposite the entrance of the market
2715,uquva,boill cdf Jekr urubε ler l
2716,ufa,and are strangled The trap can be entered from both ends Existing clearings in the forest with creepers hanging across are used in the same way and then the lane can be dis pensed with
2717,usa,secret performances form ing part of the worship of the ihd Dxwahε during which passers by are stopped by bull roaring or messengers v ul da l
2718,usama,but built at the dlat quarter for the dba s coronation
2719,usana,ifana
2720,usapεlε,name of a trading centre in Warri Province Sapele some old people call it Usakpele
2721,use,myutual help between neighbours in bigger tasks of farm work in mud treading etc
2722,use,a Bini village situated on the road leading to Siluko Is iloko
2723,usε,a village near the Yoruba boundary
